title,addr1,stored_lat,stored_lon,kakao_lat,kakao_lon,dist_km,kakao_addr,issue
Stay Vibe,서울특별시 종로구 평창1길 7-4 (평창동),37.6052328134,126.9635768407,,,,,장소 미발견 (폐업/미등록 가능성)
강화 원도심 스토리워크,인천광역시 강화군 강화읍 관청길27번길 10,37.7484743032,126.4861109075,,,,,장소 미발견 (폐업/미등록 가능성)
[북악하늘길 스카이웨이] 하늘한마당~하늘마루,서울특별시 성북구 성북동,37.569354427,127.0068155826,,,,,장소 미발견 (폐업/미등록 가능성)
달빛축제공원,인천광역시 연수구 송도동 1,37.3953434658,126.6597659732,37.3910553896149,126.652081945451,0.83,인천 연수구 송도동 3-33,좌표 불일치 (0.83km)
국가유산 방문 캠페인 인천공항 홍보관,인천광역시 중구 공항로 271 (운서동),37.4477031811,126.4521751331,,,,,장소 미발견 (폐업/미등록 가능성)
송도 센트럴파크,인천광역시 연수구 컨벤시아대로 160,37.3903993102,126.6435981392,37.393063959939425,126.63862968940775,0.53,인천 연수구 송도동 24-5,좌표 불일치 (0.53km)
보문산 행복 숲 둘레길,대전광역시 중구 대사동,36.3093154326,127.4222602576,,,,,장소 미발견 (폐업/미등록 가능성)
테미근린공원,대전광역시 중구 보문로199번길 37-36,36.3192226254,127.4218489142,,,,,장소 미발견 (폐업/미등록 가능성)
앞산 케이블카(앞산 전망대),대구광역시 남구 앞산순환로 574-114 (봉덕동),35.8244027709,128.587164671,35.82465846202498,128.57948589622362,0.693,대구 남구 대명동 산 227-1,좌표 불일치 (0.69km)
"현풍장 (5, 10일)",대구광역시 달성군 현풍읍 비슬로130길 53-1,35.6947231113,128.4421643471,,,,,장소 미발견 (폐업/미등록 가능성)
간월산,울산광역시 울주군 상북면 간월산길 614,35.5561610255,129.0480650268,35.552124628749574,129.0401976354984,0.841,울산 울주군 상북면 등억알프스리 산 220-3,좌표 불일치 (0.84km)
원시학,부산광역시 해운대구 우동1로20번가길 31 (우동),35.166279066,129.1583939802,,,,,장소 미발견 (폐업/미등록 가능성)
캔버스 블랙,부산광역시 해운대구 해운대해변로197번길 14,35.1594102909,129.1530057486,,,,,장소 미발견 (폐업/미등록 가능성)
간절곶 소망길,울산광역시 울주군 서생면 나사리,35.3546337414,129.3492110511,35.35479890863927,129.3428788337695,0.575,울산 울주군 서생면 나사리 431-1,좌표 불일치 (0.57km)
강동몽돌해변 (정자해변),울산광역시 북구 산하동,35.6278381472,129.4423980082,35.6359750360025,129.442054675606,0.905,울산 북구 산하동 957,좌표 불일치 (0.91km)
대운산,울산광역시 울주군 온양읍 대운상대길 225-92,35.3901665277,129.2361865678,35.394708872005104,129.24351144906396,0.834,울산 울주군 온양읍 운화리 산 155-3,좌표 불일치 (0.83km)
고헌산(울산),울산광역시 울주군 언양읍,35.6396001019,129.1150012809,35.641425205511894,129.0847117327677,2.745,울산 울주군 상북면 궁근정리 산 9,좌표 오류 - 실제위치 2.7km 이격
내원암 계곡,울산광역시 울주군 온양읍 대운상대길 382,35.3991681983,129.2310145451,35.3924105610663,129.242811711648,1.307,울산 울주군 온양읍 운화리,좌표 오류 - 실제위치 1.3km 이격
석남사계곡,울산광역시 울주군 상북면 이천리 642-7,35.5331267827,129.0091496267,35.6206944109244,129.025152676997,9.844,울산 울주군 상북면 덕현리,좌표 오류 - 실제위치 9.8km 이격
천전리각석계곡(울산),울산광역시 울주군 두동면 천전각석길,35.6096544965,129.1695751274,35.6145404336545,129.175281905167,0.749,울산 울주군 두동면 천전리,좌표 불일치 (0.75km)
태화강 국가정원십리대숲,울산광역시 중구 태화동 667 태화강 국가정원 안내센터,35.5487747405,129.2911995498,35.54564016727036,129.296551316054,0.597,울산 중구 태화동 636,좌표 불일치 (0.60km)
태화강 국가정원,울산광역시 중구 샛강남길 5 (태화동),35.5487747405,129.2911995498,35.5480699197143,129.297046216516,0.535,울산 중구 태화동 107,좌표 불일치 (0.53km)
홍류폭포,울산광역시 울주군 상북면 명촌길천로 33-6,35.5596834909,129.0823702624,35.5513009743164,129.06006635657,2.223,울산 울주군 상북면 등억알프스리,좌표 오류 - 실제위치 2.2km 이격
관광 꿈꾸는숲 펜션,경기도 포천시 소흘읍 죽엽산로 490,37.7907315317,127.164922608,,,,,장소 미발견 (폐업/미등록 가능성)
기흥레스피아호수공원,경기도 용인시 기흥구 하갈로 79 (하갈동),19.69442748,117.9925662504,,,,,장소 미발견 (폐업/미등록 가능성)
문수산,경기도 김포시 월곶면 문수산로 90-19,37.7391402124,126.53890633,37.7397388602631,126.548842630062,0.876,경기 김포시 월곶면 조강리 산 33-1,좌표 불일치 (0.88km)
명성산,경기도 포천시 이동면 도평리,38.0956743687,127.3504217471,38.10428336579201,127.33815820418543,1.438,강원특별자치도 철원군 갈말읍 신철원리 산 26-23,좌표 오류 - 실제위치 1.4km 이격
수미마을,경기도 양평군 단월면 곱다니길 55-2,37.5153751443,127.6482810596,37.51449562876494,127.65739569519823,0.81,경기 양평군 단월면 봉상리 530-3,좌표 불일치 (0.81km)
어비계곡,경기도 가평군 설악면 어비산길99번길 9-10,37.6002624822,127.495092496,37.59895110934659,127.50348481425029,0.754,경기 가평군 설악면 가일리 164,좌표 불일치 (0.75km)
여강길,경기도 여주시 교동로 80 (교동),37.2825406263,127.6291450703,37.2930564650145,127.666903985779,3.539,경기 여주시 연양동 304-3,좌표 오류 - 실제위치 3.5km 이격
양주캠핑(구 양주그린캠프),경기도 양주시 칠봉산로168번길 290 (회암동),37.8469681178,127.0929636696,,,,,장소 미발견 (폐업/미등록 가능성)
오산반려동물테마파크,경기도 오산시 오산천로 72,19.69442748,117.9925662504,,,,,장소 미발견 (폐업/미등록 가능성)
잔원유림 풀빌라,경기도 양평군 단월면 섬이길 216,37.6252835176,127.5884305134,,,,,장소 미발견 (폐업/미등록 가능성)
재인폭포 (한탄강 유네스코 세계지질공원),경기도 연천군 연천읍 부곡리 192,38.0772227105,127.1427246484,,,,,장소 미발견 (폐업/미등록 가능성)
포천 산정호수,경기도 포천시 영북면 산정호수로 402,38.0655272256,127.3144453741,38.07116115225556,127.32086792273978,0.842,경기 포천시 영북면 산정리 227,좌표 불일치 (0.84km)
풍도,경기도 안산시 단원구 풍도길 28,37.1112106471,126.3929258117,37.1091237782099,126.387742144316,0.515,경기 안산시 단원구 풍도동,좌표 불일치 (0.51km)
포천아트밸리 (한탄강 유네스코 세계지질공원),경기도 포천시 신북면 아트밸리로 234,37.9238257074,127.2389925377,,,,,장소 미발견 (폐업/미등록 가능성)
한탄강 주상절리길(포천),경기도 포천시 영북면,38.0798348747,127.2169316606,38.0748253187404,127.203735476262,1.282,경기 포천시 관인면 중리 산 397-7,좌표 오류 - 실제위치 1.3km 이격
고석정 (한탄강 유네스코 세계지질공원),강원특별자치도 철원군 동송읍 태봉로 1825,38.1860265295,127.2869221163,,,,,장소 미발견 (폐업/미등록 가능성)
고성 통일전망타워,강원특별자치도 고성군 현내면 금강산로 481,38.5147706205,128.4173974953,38.58668704824648,128.3748882244336,8.81,강원특별자치도 고성군 현내면 명호리 2-23,좌표 오류 - 실제위치 8.8km 이격
국민의 숲 트레킹 코스,강원특별자치도 평창군 대관령마루길 340,37.6846095239,128.740693956,37.68790489236092,128.7455557472254,0.563,강원특별자치도 평창군 대관령면 횡계리 산 48,좌표 불일치 (0.56km)
김삿갓 계곡,강원특별자치도 영월군 김삿갓면 와석리,37.1205109135,128.6085978126,37.1170117768578,128.617307680637,0.865,강원특별자치도 영월군 김삿갓면 와석리,좌표 불일치 (0.86km)
"기억스테이(ㄱstay), 메모리스테이",강원특별자치도 강릉시 창해로370번길 3 (강문동),37.7958000874,128.9169552033,,,,,장소 미발견 (폐업/미등록 가능성)
꽃사슴복권마트(슈퍼맨편의점),강원특별자치도 강릉시 경강로 2113 (임당동),37.7561431866,128.8976220619,,,,,장소 미발견 (폐업/미등록 가능성)
도그밀리(DOGMILY),강원특별자치도 평창군 방림면 감동지길 100,37.4781855533,128.2729367936,,,,,장소 미발견 (폐업/미등록 가능성)
동해 논골담길(등대 담화마을),강원특별자치도 동해시 일출로 97,37.5522210485,129.1183390829,,,,,장소 미발견 (폐업/미등록 가능성)
막동계곡,강원특별자치도 평창군 진부면 오대천로,37.5372815062,128.5651392486,37.51102522951658,128.56034429972686,2.95,강원특별자치도 평창군 진부면 막동리 산 1,좌표 오류 - 실제위치 3.0km 이격
백두대간협곡열차(V-트레인),강원특별자치도 태백시 동태백로 389 (철암동),37.1131088552,129.0367097758,,,,,장소 미발견 (폐업/미등록 가능성)
별빛 반려견놀이터,강원특별자치도 영월군 연당리 1023,37.1861106486,128.4063306679,,,,,장소 미발견 (폐업/미등록 가능성)
붕어섬&황톳길,강원특별자치도 화천군 화천읍 강변로 2-54,38.1007385507,127.697012129,,,,,장소 미발견 (폐업/미등록 가능성)
샬레리조트,강원특별자치도 평창군 봉평면 석이바우길 71-20,37.5758479263,128.3490214575,,,,,장소 미발견 (폐업/미등록 가능성)
세인트존스호텔 파인 인피니티풀,강원특별자치도 강릉시 창해로 307 세인트존스호텔,37.7911618243,128.9215243801,,,,,장소 미발견 (폐업/미등록 가능성)
애견전용해수욕장 멍비치,강원특별자치도 양양군 현남면 광진리,37.9533540227,128.7728272095,,,,,장소 미발견 (폐업/미등록 가능성)
요선정·요선암,강원특별자치도 영월군 무릉도원면 도원운학로 13-39,37.2976367451,128.2619792382,,,,,장소 미발견 (폐업/미등록 가능성)
용소폭포(연하계곡),강원특별자치도 영월군 영월읍 연하리,37.1898493765,128.5672244618,,,,,장소 미발견 (폐업/미등록 가능성)
장전계곡,강원특별자치도 평창군 진부면 장전길 435-2,37.4773546471,128.5418181531,37.4996586704606,128.564337944808,3.178,강원특별자치도 평창군 진부면 장전리 산 1,좌표 오류 - 실제위치 3.2km 이격
죽도정·죽도 전망대,강원특별자치도 양양군 현남면 인구리 1-1,37.9716711612,128.7635358133,,,,,장소 미발견 (폐업/미등록 가능성)
직탕폭포 (한탄강 유네스코 세계지질공원),강원특별자치도 철원군 동송읍 장흥리,38.2097567004,127.2659177854,,,,,장소 미발견 (폐업/미등록 가능성)
춘천 의암호 자전거길(물레길),강원특별자치도 춘천시 스포츠타운길 113-1,37.8550197403,127.6857871373,,,,,장소 미발견 (폐업/미등록 가능성)
파로호(화천),강원특별자치도 화천군 간동면 배터길 36-8,38.0993652277,127.7779270055,38.0951138755809,127.772443638864,0.674,강원특별자치도 화천군 간동면 구만리 산 215-6,좌표 불일치 (0.67km)
평화의 댐(화천),강원특별자치도 화천군 화천읍 평화로 3481-18,38.2132809524,127.8435842372,38.206523102919384,127.85011321957376,0.943,강원특별자치도 화천군 화천읍 동촌리 2905-2,좌표 불일치 (0.94km)
하조대해수욕장,강원특별자치도 양양군 현북면 하조대해안길 35,38.0229894402,128.7242655472,38.0264231069221,128.720283162582,0.517,강원특별자치도 양양군 현북면 하광정리 80-2,좌표 불일치 (0.52km)
평창군 스카이 타워 체험시설,강원특별자치도 평창군 대관령면 스포츠파크길 160,37.6642219239,128.6853967844,,,,,장소 미발견 (폐업/미등록 가능성)
피노키오청소년수련원(피노키오 캠핑장),강원특별자치도 원주시 신림면 소야1길 72,37.2574840515,128.1677250095,,,,,장소 미발견 (폐업/미등록 가능성)
학마을캠프펜션,강원특별자치도 철원군 동송읍 도피동길 72-1,38.2361500102,127.2211322259,,,,,장소 미발견 (폐업/미등록 가능성)
홀리데이인&스위트 알펜시아 평창,강원특별자치도 평창군 대관령면 솔봉로 325,37.6609136479,128.6685317384,37.65788904517019,128.6729990285347,0.517,강원특별자치도 평창군 대관령면 용산리 425,좌표 불일치 (0.52km)
한반도지형(강원고생대 국가지질공원),강원특별자치도 영월군 한반도면 한반도로 555,37.2199280571,128.3575534938,,,,,장소 미발견 (폐업/미등록 가능성)
[해파랑길] 44코스,강원특별자치도 양양군 손양면 수산리,38.0800568005,128.6723268085,38.11965748754108,128.63194294125256,5.646,강원특별자치도 양양군 강현면 주청리 1-4,좌표 오류 - 실제위치 5.6km 이격
[해파랑길] 45코스,강원특별자치도 속초시 동해대로 3664,38.1632070033,128.6085577775,38.20425102502839,128.59236048139675,4.778,강원특별자치도 속초시 중앙동,좌표 오류 - 실제위치 4.8km 이격
말티재 전망대(말티고개),충청북도 보은군 장안면 장재리,36.4991475269,127.7893194701,,,,,장소 미발견 (폐업/미등록 가능성)
삼성 반려견 놀이터,충청북도 음성군 삼성면 양덕리,37.0249788699,127.4866180357,,,,,장소 미발견 (폐업/미등록 가능성)
사담관광농원캠핑,충청북도 괴산군 청천면 괴산로 197,36.6224781783,127.8075338463,,,,,장소 미발견 (폐업/미등록 가능성)
오대호아트팩토리,충청북도 충주시 앙성면 가곡로 1434,37.0944459236,127.7945188787,,,,,장소 미발견 (폐업/미등록 가능성)
충주호,충청북도 충주시 동량면 함암리,36.958149471,128.0400201677,36.98001682844732,128.08959186825095,5.031,충북 충주시 동량면 사기리 321,좌표 오류 - 실제위치 5.0km 이격
[충주 풍경길] 종댕이길,충청북도 충주시 종민동,36.9786407554,127.9965540359,,,,,장소 미발견 (폐업/미등록 가능성)
삼길포항,충청남도 서산시 대산읍 삼길포1로 72-2,36.9992162821,126.4509846649,37.0035417628837,126.452790265696,0.507,충남 서산시 대산읍 화곡리 1891,좌표 불일치 (0.51km)
스테이 앤드 스튜디오 여여재,충청남도 태안군 몽대로 448,36.6766143894,126.2741703813,,,,,장소 미발견 (폐업/미등록 가능성)
태안기업도시 버베나판타지(가든스퀘어),충청남도 태안군 태안읍 기업도시6길 43,36.7224490956,126.3387438841,,,,,장소 미발견 (폐업/미등록 가능성)
한채당 한옥체험관,충청남도 태안군 소원면 송의로 695-9,36.8300475341,126.1612654683,,,,,장소 미발견 (폐업/미등록 가능성)
낙동강 경천대(경천대 전망대),경상북도 상주시 사벌국면 경천로 652,36.4582827307,128.2440300692,,,,,장소 미발견 (폐업/미등록 가능성)
더 포레 관광펜션,경상북도 청도군 각남면 구곡1길 66-32,35.6373698403,128.6681627264,,,,,장소 미발견 (폐업/미등록 가능성)
동의참누리원 영천한의마을한옥체험관,경상북도 영천시 천문로 485 (화룡동),35.9784693542,128.9233029829,,,,,장소 미발견 (폐업/미등록 가능성)
문경 철로자전거(레일바이크),경상북도 문경시 마성면 진남1길 155,36.6543804013,128.1285264772,,,,,장소 미발견 (폐업/미등록 가능성)
리버스,경상북도 성주군 성주읍 참별로 2503,35.9150808699,128.2555136424,,,,,장소 미발견 (폐업/미등록 가능성)
벌영리 메타세콰이어길,경상북도 영덕군 영해면 벌영리,36.53034604,129.3841296935,,,,,장소 미발견 (폐업/미등록 가능성)
서남산한옥,경상북도 경주시 내남면 포석로 435-12,35.7808636366,129.2045588973,,,,,장소 미발견 (폐업/미등록 가능성)
안동시 월령빠지,경상북도 안동시 석주로 202 (상아동),36.5774565035,128.7585281457,,,,,장소 미발견 (폐업/미등록 가능성)
에스지빌라앤호텔(미동의),경상북도 경주시 감포읍 동해안로 1819-23,35.7705924587,129.4917340697,,,,,장소 미발견 (폐업/미등록 가능성)
울진 해안도로,경상북도 울진군 근남면 산포리,36.9655497642,129.4145306138,,,,,장소 미발견 (폐업/미등록 가능성)
위클라드 애견 풀빌라,경상북도 경주시 외동읍 죽동길 160-100,35.7412033678,129.3065788728,,,,,장소 미발견 (폐업/미등록 가능성)
장기척화비와 근민당,경상북도 포항시 남구 장기면 읍내길 99,35.8959172402,129.492955357,,,,,장소 미발견 (폐업/미등록 가능성)
가지산도립공원(밀양),경상남도 밀양시 산내면,35.5803348234,128.9804563782,35.59899121085363,129.01569521761124,3.802,경남 밀양시 산내면 삼양리 산 1-3,좌표 오류 - 실제위치 3.8km 이격
단장 이팝꽃 터널길,경상남도 밀양시 단장면,35.485566801,128.9312688684,35.4938557743657,128.928898743251,0.946,경남 밀양시 단장면 고례리 산 374-4,좌표 불일치 (0.95km)
십리벚꽃길,경상남도 하동군 화개면 화개로 142,35.2000061238,127.6304656321,35.1933035859538,127.624708087214,0.911,경남 하동군 화개면 탑리,좌표 불일치 (0.91km)
재약산,경상남도 밀양시 단장면 구천리,35.5209744841,128.9613069263,35.54541656587975,128.9805578963166,3.228,경남 밀양시 단장면 구천리 산 1,좌표 오류 - 실제위치 3.2km 이격
고창 고인돌 유적 [유네스코 세계유산],전북특별자치도 고창군 고창읍 고인돌공원길 74,35.4415120412,126.651534939,,,,,장소 미발견 (폐업/미등록 가능성)
경천애인 징검다리길,전북특별자치도 완주군 경천면 경천리 680-3,36.0210064504,127.2517887624,,,,,장소 미발견 (폐업/미등록 가능성)
군산 영화의 거리,전북특별자치도 군산시 구영6길 60 (신창동),35.9866620987,126.7096908504,,,,,장소 미발견 (폐업/미등록 가능성)
전북 전주 한옥마을 [슬로시티],전북특별자치도 전주시 완산구 기린대로 99 (남노송동),35.8183167088,127.1536278459,,,,,장소 미발견 (폐업/미등록 가능성)
콩쥐팥쥐 관광 한옥리조트,전북특별자치도 완주군 이서면 신지앵곡길 237-10,35.8036857071,127.031652974,,,,,장소 미발견 (폐업/미등록 가능성)
[진안고원길 9구간] 운일암반일암 숲길,전북특별자치도 진안군 주천면 대불리,35.9827437661,127.3885164886,,,,,장소 미발견 (폐업/미등록 가능성)
광양 매화마을,전라남도 광양시 다압면 목길 34-2,35.0785796984,127.7205191898,35.08040324951083,127.71535405614706,0.512,전남 광양시 다압면 도사리 548,좌표 불일치 (0.51km)
고집불통송가네,전라남도 해남군 북평면 동해길 108-23,34.4415633214,126.631441776,,,,,장소 미발견 (폐업/미등록 가능성)
골드마운틴하우스 (유한회사진도휴식),전라남도 진도군 고군면 원포길 226,34.4817629973,126.3770576294,,,,,장소 미발견 (폐업/미등록 가능성)
두언27,전라남도 여수시 율촌면 두언길 27,34.8371481635,127.5416882792,,,,,장소 미발견 (폐업/미등록 가능성)
산이정원,전라남도 해남군 산이면 구성리,34.7096793786,126.3967115799,34.709063075654264,126.38647576721002,0.938,전남 해남군 산이면 구성리 664,좌표 불일치 (0.94km)
임자도,전라남도 신안군 임자면 대광해수욕장길 179,35.0858264076,126.0917156572,35.0941887579171,126.089018756356,0.962,전남 신안군 임자면 대기리,좌표 불일치 (0.96km)
예양서원,전라남도 장흥군 장흥읍 예양4길 15-7,34.6764330935,126.8998875114,,,,,장소 미발견 (폐업/미등록 가능성)
오래된 숲(송산),전라남도 장흥군 장흥읍 송산길 59,34.6530355573,126.8901667154,,,,,장소 미발견 (폐업/미등록 가능성)
주식회사 더 오래뜰(게스트하우스 오래뜰),전라남도 목포시 북교길 27,34.7943501009,126.3782306228,,,,,장소 미발견 (폐업/미등록 가능성)
죽산보 오토캠핑장,전라남도 나주시 우정로 10,35.0247530385,126.7818948936,34.9707495549868,126.628113466606,15.241,전남 나주시 다시면 죽산리 123-2,좌표 오류 - 실제위치 15.2km 이격
(사)한국천연염색 숨(보성천연염색공예관 숨),전라남도 보성군 복내면 개기로 1529-45,34.9081246226,127.1183320154,,,,,장소 미발견 (폐업/미등록 가능성)
GRIDA(그리다 리조트),전라남도 여수시 돌산읍 강남해안로 60,34.7202425635,127.745459518,,,,,장소 미발견 (폐업/미등록 가능성)
녹산로 유채꽃도로,제주특별자치도 서귀포시 표선면 가시로565번길 20,33.3532755098,126.771635499,33.3841284847915,126.737872391599,4.648,제주특별자치도 서귀포시 표선면 가시리,좌표 오류 - 실제위치 4.6km 이격
서우봉둘레길,제주특별자치도 제주시 조천읍 함덕12길 16,33.5407280629,126.6641460999,33.5423958239209,126.671132125886,0.673,제주특별자치도 제주시 조천읍 함덕리 산 14-13,좌표 불일치 (0.67km)
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.430250088,126.9280674087,33.4239380655993,126.930609241011,0.74,제주특별자치도 서귀포시 성산읍 고성리 87,좌표 불일치 (0.74km)
성읍민속마을,제주특별자치도 서귀포시 표선면 성읍리,33.388430228,126.7882138165,33.384959730607484,126.8014989334944,1.292,제주특별자치도 서귀포시 표선면 성읍리 855-1,좌표 오류 - 실제위치 1.3km 이격
100코달리 와인바,서울특별시 중구 다산로38길 11,37.56330525,127.016417,,,,,장소 미발견 (폐업/미등록 가능성)
107page,경상북도 구미시 봉곡서로 87-34,36.15863384,128.30627,,,,,장소 미발견 (폐업/미등록 가능성)
1974유달동미스박,전라남도 목포시 비파로 61,34.80393238,126.425756,,,,,장소 미발견 (폐업/미등록 가능성)
2Cats,서울특별시 종로구 인사동길 11,37.57182943,126.986787,37.5072542445247,127.027252711584,8.018,서울 강남구 논현동 187,좌표 오류 - 실제위치 8.0km 이격
38 DEGREE,강원도 속초시 엑스포로 27,38.19104367,128.58822,,,,,장소 미발견 (폐업/미등록 가능성)
625전쟁체험기념관,강원도 고성군 현내면 통일전망대로 453,38.58407952,128.373679,,,,,장소 미발견 (폐업/미등록 가능성)
63아트,서울특별시 영등포구 63로 50,37.51966416,126.939909,,,,,장소 미발견 (폐업/미등록 가능성)
가우도,nan,34.52719533,126.764915,34.529166253401065,126.77175427559867,0.664,전남 강진군 도암면 신기리 123-3,좌표 불일치 (0.66km)
가산박물관,충청북도 옥천군 안내면 안내회남로 310-5,36.40466701,127.621897,,,,,장소 미발견 (폐업/미등록 가능성)
가원별장 펜션,경기도 양평군 단월면 명성길 176-1,37.62218608,127.631772,,,,,장소 미발견 (폐업/미등록 가능성)
가자펜션,경상남도 거제시 남부면 거제남서로 324-4,34.71600425,128.626327,,,,,장소 미발견 (폐업/미등록 가능성)
가평 퓨어향기 독채펜션,경기도 가평군 북면 가화로 2670-23,37.97137565,127.454239,,,,,장소 미발견 (폐업/미등록 가능성)
가평휴게소 반려견놀이터,경기도 가평군 설악면 미사리로540번길 51,37.70194035,127.546805,,,,,장소 미발견 (폐업/미등록 가능성)
각화제,nan,35.18452351,126.939782,35.17971639864242,126.94313309622741,0.615,광주 북구 각화동 75,좌표 불일치 (0.62km)
가학산근린공원,경기도 광명시 가학로85번길 134-23,37.42592096,126.865928,,,,,장소 미발견 (폐업/미등록 가능성)
감성공판장,전라남도 담양군 월산면 담장로 143,35.33528423,126.962041,,,,,장소 미발견 (폐업/미등록 가능성)
갓바위미술관,전라남도 목포시 노적봉길 4-1,34.79022712,126.385005,34.78866400141968,126.40331287595492,1.681,전남 목포시 산정동 1391-1,좌표 오류 - 실제위치 1.7km 이격
강릉선교장박물관,강원도 강릉시 운정길 63,37.7872994,128.884542,37.779373774014836,128.88099895550093,0.935,강원특별자치도 강릉시 죽헌동 177-4,좌표 불일치 (0.93km)
강릉대관령전망대,강원도 강릉시 성산면 영동고속도로 232,37.75734947,128.806638,37.72404772420009,128.77947023549893,4.407,강원특별자치도 강릉시 성산면 어흘리 803,좌표 오류 - 실제위치 4.4km 이격
강아지공간,경기도 용인시 수지구 용구대로 2769,37.33290687,127.108438,,,,,장소 미발견 (폐업/미등록 가능성)
강아지숲 반려견 테마파크,강원도 춘천시 남산면 충효로 437,37.73643502,127.66202,,,,,장소 미발견 (폐업/미등록 가능성)
강아지이발소,경상남도 김해시 내외중앙로 29,35.23266897,128.865954,,,,,장소 미발견 (폐업/미등록 가능성)
강천섬유원지,경기도 여주시 강천면 강천리길 88,37.23474348,127.707936,37.234338131678236,127.69423421408837,1.214,경기 여주시 강천면 강천리 627,좌표 오류 - 실제위치 1.2km 이격
강화 고벵이 오션뷰 수영장 애견동반 펜션,인천광역시 강화군 화도면 해안남로 2506-16,37.6273168,126.37992,,,,,장소 미발견 (폐업/미등록 가능성)
강화 마니산스토리,인천광역시 강화군 화도면 해안남로2220번길 30,37.6096682,126.396051,37.59638201798683,126.44250625606641,4.351,인천 강화군 화도면 동막리 119-1,좌표 오류 - 실제위치 4.4km 이격
강화 어나더153 애견펜션,인천광역시 강화군 화도면 해안남로 1669-12,37.5944154,126.437672,,,,,장소 미발견 (폐업/미등록 가능성)
강화 해마루 애견동반 펜션,인천광역시 강화군 화도면 해안남로 2289,37.60908898,126.386917,,,,,장소 미발견 (폐업/미등록 가능성)
강화 향기정원 애견동반펜션,인천광역시 강화군 화도면 해안남로 2166-39,37.60696815,126.400736,,,,,장소 미발견 (폐업/미등록 가능성)
강화도바다네스파펜션,인천광역시 강화군 길상면 해안남로 789-17,37.60624479,126.479886,,,,,장소 미발견 (폐업/미등록 가능성)
강화돌담캠핑 글램핑,인천광역시 강화군 삼산면 삼산북로 397-1,37.70120264,126.328233,,,,,장소 미발견 (폐업/미등록 가능성)
개가사는그집,경기도 파주시 책향기로 573,37.72775258,126.734377,,,,,장소 미발견 (폐업/미등록 가능성)
개다방,제주특별자치도 서귀포시 중앙로 166,33.25935333,126.559774,,,,,장소 미발견 (폐업/미등록 가능성)
개간지 애견카페,경기도 안산시 단원구 선부광장1로 38,37.336637,126.809391,,,,,장소 미발견 (폐업/미등록 가능성)
개들의수다,경기도 김포시 고촌읍 은행영사정로51번길 42,37.60457184,126.776563,,,,,장소 미발견 (폐업/미등록 가능성)
개떼놀이터 용인,경기도 용인시 기흥구 용구대로2335번길 47,37.29852289,127.106545,,,,,장소 미발견 (폐업/미등록 가능성)
개라다이스,서울특별시 관악구 봉천로 283,37.48766129,126.932624,,,,,장소 미발견 (폐업/미등록 가능성)
개린이세상,울산광역시 남구 정동로80번길 4,35.54087333,129.344658,,,,,장소 미발견 (폐업/미등록 가능성)
개린이네,경기도 용인시 기흥구 고매로43번길 12-23,37.23167734,127.116283,37.3053242863724,127.000929450865,13.087,경기 수원시 장안구 송죽동 445,좌표 오류 - 실제위치 13.1km 이격
